product_id,product_name,aisle_id,department_id
1,Organic Banana,1,1
2,Organic Strawberries,2,1
3,Organic Baby Spinach,3,1
4,Organic Avocado,4,1
5,Organic Whole Milk,5,2
6,Organic Greek Yogurt,6,2
7,Organic Cheese,7,2
8,Organic Bread,8,3
9,Organic Bagels,9,3
10,Smartphone,10,4
11,Laptop,11,4
12,T-shirt,12,5
13,Jeans,13,5
14,Sofa,14,6
15,Bed,15,6
16,Shampoo,16,7
17,Makeup,17,7
18,Vitamins,18,8
19,Pain Reliever,19,8
20,Action Figure,20,9
21,Board Game,21,9
22,Basketball,22,10
23,Tennis Racket,23,10 